eta_eno,eta_v,ducros_cutoff,fdisper,ftke,fcons,time
1.0,0.7832,0.3738,0.1349,4,1,2024-02-09 04:42:34
0.6567,0.8225,0.0,0.4391,-0.2487,-0.0462,2024-02-09 04:57:19
0.8933,0.1184,0.8187,9,4,1,2024-02-09 04:59:22
1.0,1.0,0.2645,0.1455,4,1,2024-02-09 05:02:07
1.0,0.0,0.1612,0.9235,4,1,2024-02-09 05:04:53
1.0,0.3426,0.857,0.2132,4,1,2024-02-09 05:08:02
0.91,0.5501,1.0,2.0048,-0.7537,-0.0909,2024-02-09 05:22:38
0.8784,1.0,0.8815,0.1873,4,1,2024-02-09 05:25:26
0.5,0.2909,0.6563,9,4,1,2024-02-09 05:28:20
1.0,0.7159,0.809,0.0977,-0.2277,-0.0675,2024-02-09 05:43:07
0.8472,0.3431,0.4691,0.1996,4,1,2024-02-09 05:46:41
0.8526,0.1607,0.0,0.1742,0.0125,-0.0232,2024-02-09 06:01:30
0.6167,0.8988,1.0,0.2456,0.0725,-0.0452,2024-02-09 06:16:21
1.0,0.6096,0.6455,0.1118,-0.5521,-0.0863,2024-02-09 06:31:14
1.0,0.838,0.0,0.1271,4,1,2024-02-09 06:34:07
0.6855,0.3993,0.6941,0.8644,-0.0757,-0.9686,2024-02-09 06:41:52
1.0,0.3732,0.172,0.1221,4,1,2024-02-09 06:44:43
0.8735,0.0,0.4153,9,4,1,2024-02-09 06:46:39
0.8704,0.3344,1.0,9,4,1,2024-02-09 06:49:02
0.5894,0.8711,0.3896,0.615,0.0312,-0.0492,2024-02-09 07:03:47
0.5,0.8374,0.8513,0.869,0.0286,-0.0517,2024-02-09 07:18:42
0.5,0.1159,0.2094,0.7897,4,1,2024-02-09 07:21:40
0.5743,0.7178,0.1273,0.6303,-0.2463,-0.0693,2024-02-09 07:36:34
0.5,0.3765,0.3875,1.2189,-0.65,0.1937,2024-02-09 07:51:45
0.6793,0.3413,0.206,0.3808,4,1,2024-02-09 07:54:58
0.9669,0.8157,0.9427,0.1458,0.0107,-0.0532,2024-02-09 08:09:33
0.845,0.319,0.1789,0.1332,4,1,2024-02-09 08:12:49
0.7449,0.7129,0.9976,0.4029,-0.2321,-0.0683,2024-02-09 08:27:22
0.904,0.7122,0.7361,0.1509,-0.242,-0.0674,2024-02-09 08:42:00
0.9578,0.8612,0.6351,0.1583,0.0222,-0.0487,2024-02-09 08:56:34
0.9102,0.0196,0.0562,0.1089,4,1,2024-02-09 08:59:16
0.5605,0.4655,0.1444,0.8667,-0.8219,0.0384,2024-02-09 09:13:54
0.7715,0.7625,0.0424,0.2263,-0.0912,-0.0595,2024-02-09 09:28:31
0.7846,0.1604,0.6255,9,4,1,2024-02-09 09:30:31
0.6355,0.2485,0.3613,0.4992,4,1,2024-02-09 09:33:39
0.6237,0.6063,0.623,0.546,-0.5645,-0.0893,2024-02-09 09:48:32
0.6641,0.4947,0.853,0.8678,-0.9084,-0.0912,2024-02-09 10:03:37
1.0,0.8344,0.5182,0.1388,0.0314,-0.05,2024-02-09 10:18:16
0.6906,0.5304,0.3267,0.3895,-0.8279,-0.0954,2024-02-09 10:32:57
0.7832,1.0,0.1372,0.2244,4,1,2024-02-09 10:35:50
1.0,0.4578,0.3874,0.0955,4,1,2024-02-09 10:39:03
0.8691,1.0,0.0,0.1671,0.0284,-0.0219,2024-02-09 10:53:55
0.6657,0.1256,0.8212,9,4,1,2024-02-09 10:56:07
0.8428,0.6159,0.0,0.1728,-0.0052,-0.024,2024-02-09 11:11:05
0.6405,1.0,0.6477,0.5036,4,1,2024-02-09 11:14:05
0.5,0.1415,0.9547,9,4,1,2024-02-09 11:16:22
0.8791,0.0,0.68,9,4,1,2024-02-09 11:18:17
0.6373,0.0,0.6498,9,4,1,2024-02-09 11:20:20
1.0,0.4137,0.7177,0.1181,4,1,2024-02-09 11:26:43
0.848,0.0,0.8918,9,4,1,2024-02-09 11:28:49
1.0,1.0,0.6026,0.1566,4,1,2024-02-09 11:31:49
0.8642,0.6718,0.9003,0.1741,-0.3422,-0.0739,2024-02-09 11:46:39
0.9919,0.0925,0.904,9,4,1,2024-02-09 11:48:28
0.7421,0.8564,0.4206,0.287,0.0274,-0.0487,2024-02-09 12:03:29
0.5,1.0,0.5788,0.8665,4,1,2024-02-09 12:06:31
1.0,0.6726,0.263,0.1001,4,1,2024-02-09 12:09:30
0.5,0.5415,0.3286,1.277,-0.7751,-0.0956,2024-02-09 12:24:30
0.8736,0.0,0.2523,9,4,1,2024-02-09 12:26:56
0.6272,0.5358,0.0,0.5241,-0.3372,-0.0524,2024-02-09 12:42:03
1.0,1.0,0.1239,0.1412,4,1,2024-02-09 12:45:06
0.6295,1.0,0.9033,0.4781,4,1,2024-02-09 12:48:13
0.7378,0.7246,0.2383,0.2618,-0.2093,-0.0652,2024-02-09 13:03:12
1.0,0.1377,0.3384,0.0397,4,1,2024-02-09 13:06:17
0.5,0.6278,0.5212,1.1317,-0.495,-0.0877,2024-02-09 13:21:26
0.8919,0.4829,0.1145,0.1355,-0.9551,-0.0304,2024-02-09 13:36:47
0.5,0.6459,1.0,0.8756,-0.4345,-0.0821,2024-02-09 14:54:28
0.8757,1.0,0.3912,0.1982,4,1,2024-02-09 15:30:27
0.8321,0.8654,0.1227,0.1857,0.0201,-0.0487,2024-02-09 16:47:14
0.5949,0.0814,0.0,0.5538,-0.4199,-0.0608,2024-02-09 17:26:37
